"Name";"Typ";"Name_sci";"Name_eng";"Name_alt";"Familie";"Gattung";"Lebensraum";"Lebensraum2";"Lebensraum3";"Lebensraum4"
"Karausche";"Fische";"Carassius carassius";"crucian carp";;"Karpfenfische (Cyprinidae)";"Carassius";"Stillgewässer";;;
"Groppe";"Fische";"Cottus gobio";;"Kaulkopf, Rotzkopf, Westgroppe, Koppe, Mühlkoppe, Dickkopf oder Dolm";"Groppen";"Cottus";"Fließgewässer";;;
"Hirschkäfer";"Insekten-Käfer";"Lucanus cervus";"stag beetle";;"Schröter (Lucanidae)";"Lucanus";"Hartholzaue";;;
"Großer Eichenbock";"Insekten-Käfer";"Cerambyx cerdo";"great capricorn beetle";"Eichenbock, Riesenbock, Spießbock";"Bockkäfer(Cerambycidae)";"Cerambyx";"Hartholzaue";;;
"Moschusbock";"Insekten-Käfer";"Aromia moschata";"musk beetle";;"Bockkäfer (Cerambycidae)";"Aromia";"Weichholzaue";"Hartholzaue";;
"Lederlaufkäfer";"Insekten-Käfer";"Carabus coriaceus";"leather beetle";;"Laufkäfer (Carabidae)";"Echte Laufkäfer (Carabus)";"Hartholzaue";;;
"Goldglänzender Rosenkäfer";"Insekten-Käfer";"Cetonia aurata";"flower chafer";"Rosenkäfer";"Blatthornkäfer (Scarabaeidae)";"Cetonia";"Hartholzaue";"Magerwiesen";;
"Pappel-Blattkäfer";"Insekten-Käfer";"Chrysomela populi";"poplar leaf beetle";;"Blattkäfer (Chrysomelidae)";"Chrysomela";"Weichholzaue";;;
"Weiden-Blattkäfer";"Insekten-Käfer";"Phratora vulgatissima";"widow leaf beetle";;;;"Weichholzaue";;;
"Eichenblattroller";"Insekten-Käfer";"Attelabus nitens";"oak roller weevil";"Roter Eichenkugelrüssler";;;"Hartholzaue";;;
"Gelbrandkäfer";"Insekten-Käfer";"Dytiscus marginalis";"great diving beetle";"Gemeine Gelbrand";"Schwimmkäfer (Dytiscidae)";"Dytiscus";"Stillgewässer";;;
"Schwarzblauer Ölkäfer";"Insekten-Käfer";"Meloe proscarabaeus";"blister beetle";"Schwarzer Maiwurm";"Ölkäfer (Meloidae)";"Meloe";"Hartholzaue";;;
"Dünen-Sandlaufkäfer";"Insekten-Käfer";"Cicindela hybrida";"norther dune tiger beetle";"Kupferbrauner Sandlaufkäfer";"Laufkäfer (Carabidae)";"Cicindela";"Magerrasen";;;
"Hornisse";"Insekten-Hautflügler";"Vespa crabro";"european hornet";;"Faltenwespen (Vespidae)";"Hornissen (Vespa)";"Hartholzaue";;;
"Gemeine Sandbiene";"Insekten-Hautflügler";"Andrena flavipes";"sand bee";;"Andrenidae";"Sandbienen (Andrena)";"Magerrasen";"Hartholzaue";;
"Große Blaue Holzbiene";"Insekten-Hautflügler";"Xylocopa violacea";"carpenter bee";;"Echte Bienen (Apidae)";"Holzbienen (Xylocopa)";"Hartholzaue";;;
"Gelbe Kammschnake";"Insekten-Zweiflügler";"Ctenophora ornata";"cranefly";;;;"Hartholzaue";"Weichholzaue";;
